animal_type,title,description,location,source_url,image_url
Кошка,"Пропала кошка, Москва, Будённо...","Пропала кошка, Москва, Будённо...",Москва,https://pet911.ru/moskva/lost/cat/rl1204283,
Кошка,"Пропала кошка, Район Тверской,...","Пропала кошка, Район Тверской,...",Москва,https://pet911.ru/moskva/lost/cat/rl1204630,
Кошка,"Пропала кошка, Котельники, Куз...","Пропала кошка, Котельники, Куз...",Москва,https://pet911.ru/kotelniki/lost/cat/rl1204458,
Кошка,"Пропала кошка, Москва, Златоус...","Пропала кошка, Москва, Златоус...",Москва,https://pet911.ru/moskva/lost/cat/rl1203758,
Собака,"Пропала собака, Москва, Маршал...","Пропала собака, Москва, Маршал...",Москва,https://pet911.ru/moskva/lost/dog/rl1204783,
Кошка,"Пропал кот, Деревня Губкино (г...","Пропал кот, Деревня Губкино (г...",Москва,https://pet911.ru/derevnya-gubkino/lost/cat/rl1200831,
Кошка,"Найдена кошка, Москва, Молосто...","Найдена кошка, Москва, Молосто...",Москва,https://pet911.ru/moskva/found/cat/rf1204863,
Собака,"Пропала собака, Дмитровское шо...","Пропала собака, Дмитровское шо...",Москва,https://pet911.ru/moskva/lost/dog/rl1204862,
Кошка,"Пропала кошка, Федеративный пр...","Пропала кошка, Федеративный пр...",Москва,https://pet911.ru/moskva/lost/cat/rl1204796,
Кошка,"Найдена кошка, Москва, 3-я Хор...","Найдена кошка, Москва, 3-я Хор...",Москва,https://pet911.ru/moskva/found/cat/rf1204795,
Кошка,"Пропала кошка, Москва, Панфило...","Пропала кошка, Москва, Панфило...",Москва,https://pet911.ru/moskva/lost/cat/rl1204599,
Собака,"Найдена собака, Москва, Кулако...","Найдена собака, Москва, Кулако...",Москва,https://pet911.ru/moskva/found/dog/rf1204535,
Кошка,"Пропала кошка, Люберцы, Красно...","Пропала кошка, Люберцы, Красно...",Москва,https://pet911.ru/lyubertsy/lost/cat/rl1204660,
Кошка,"Найдена кошка, Район Обручевск...","Найдена кошка, Район Обручевск...",Москва,https://pet911.ru/moskva/found/cat/rf1204484,
Кошка,"Найдена кошка, Москва, 15-я Па...","Найдена кошка, Москва, 15-я Па...",Москва,https://pet911.ru/moskva/found/cat/rf1204447,
Собака,"Пропала собака, Новорязанская,...","Пропала собака, Новорязанская,...",Москва,https://pet911.ru/moskva/lost/dog/rl1204420,
Кошка,"Найдена кошка, Реутов, имени а...","Найдена кошка, Реутов, имени а...",Москва,https://pet911.ru/reutov/found/cat/rf1204363,
Кошка,"Найдена кошка, Москва, Молосто...","Найдена кошка, Москва, Молосто...",Москва,https://pet911.ru/moskva/found/cat/rf1204334,
Кошка,"Найдена кошка, Москва, Констан...","Найдена кошка, Москва, Констан...",Москва,https://pet911.ru/moskva/found/cat/rf1204333,
Собака,"Найдена собака, Москва — хаски...","Найдена собака, Москва — хаски...",Москва,https://pet911.ru/moskva/found/dog/rf1204290,
Собака,"Найдена собака, Москва, Ленинс...","Найдена собака, Москва, Ленинс...",Москва,https://pet911.ru/donskoy/found/dog/rf1204201,
Собака,"Найдена собака, Реутов, Юбилей...","Найдена собака, Реутов, Юбилей...",Москва,https://pet911.ru/reutov/found/dog/rf1204152,
Собака,"Найдена собака, Балашиха, Зеле...","Найдена собака, Балашиха, Зеле...",Москва,https://pet911.ru/balashikha/found/dog/rf1204090,
Собака,"Найдена собака, Район Измайлов...","Найдена собака, Район Измайлов...",Москва,https://pet911.ru/poselok-izmaylovo/found/dog/rf1204074,
Собака,"Пропала собака, Микрорайон Бел...","Пропала собака, Микрорайон Бел...",Москва,https://pet911.ru/snt-belaya-dacha/lost/dog/rl1204069,
Кошка,"Найдена кошка, Москва, Гришина...","Найдена кошка, Москва, Гришина...",Москва,https://pet911.ru/mozhaysky-gorodskoy-okrug/found/cat/rf1204040,
Кошка,"Найдена кошка, Одинцово, 1-я В...","Найдена кошка, Одинцово, 1-я В...",Москва,https://pet911.ru/odintsovo/found/cat/rf1204018,
Собака,"Пропала собака, Микрорайон Ник...","Пропала собака, Микрорайон Ник...",Москва,https://pet911.ru/balashikha/lost/dog/rl1204465,
Кошка,"Найдена кошка, Район Кунцево (...","Найдена кошка, Район Кунцево (...",Москва,https://pet911.ru/moskva/found/cat/rf1204841,
Кошка,"Пропала кошка, Москва, Златоус...","Пропала кошка, Москва, Златоус...",Москва,https://pet911.ru/moskva/lost/cat/rl1204408,
Кошка,"Найдена кошка, Москва, Молосто...","Найдена кошка, Москва, Молосто...",Москва,https://pet911.ru/moskva/found/cat/rf1204375,
Кошка,"Найдена кошка, Москва, Вавилов...","Найдена кошка, Москва, Вавилов...",Москва,https://pet911.ru/moskva/found/cat/rf1204161,
Кошка,"Пропала кошка, Район Выхино-Жу...","Пропала кошка, Район Выхино-Жу...",Москва,https://pet911.ru/moskva/lost/cat/rl1204160,
Собака,"Найдена собака, Виктора Маслов...","Найдена собака, Виктора Маслов...",Москва,https://pet911.ru/moskva/found/dog/rf1204002,
Кошка,"Найдена кошка, Перовский парк...","Найдена кошка, Перовский парк...",Москва,https://pet911.ru/moskva/found/cat/rf1203908,
Собака,"Найдена собака, Район Нагорный...","Найдена собака, Район Нагорный...",Москва,https://pet911.ru/moskva/found/dog/rf1203808,
Собака,"Найдена собака, возле ветклини...","Найдена собака, возле ветклини...",Москва,https://pet911.ru/reutov/found/dog/rf1203787,
Кошка,"Найдена кошка, Москва, Большая...","Найдена кошка, Москва, Большая...",Москва,https://pet911.ru/moskva/found/cat/rf1203753,
Собака,"Найдена собака, Балашиха, Савв...","Найдена собака, Балашиха, Савв...",Москва,https://pet911.ru/balashikha/found/dog/rf1203257,
Кошка,"Найдена кошка, Буденновское, д...","Найдена кошка, Буденновское, д...",Москва,https://pet911.ru/odintsovo/found/cat/rf1203666,
Собака,"Найдена собака, Район Нагатинс...","Найдена собака, Район Нагатинс...",Москва,https://pet911.ru/moskva/found/dog/rf1203437,
Кошка,"Найдена кошка, Район Хорошевск...","Найдена кошка, Район Хорошевск...",Москва,https://pet911.ru/moskva/found/cat/rf1203404,
Кошка,"Найдена кошка, Москва, 4-й Кру...","Найдена кошка, Москва, 4-й Кру...",Москва,https://pet911.ru/moskva/found/cat/rf1203364,
